,State or UN,Admin Cap,Legis Cap,Judi Cap,Year,Capital
0,Andaman and Nicobar Islands,Port Blair,—,Kolkata,1955,Calcutta (1945–1955)
1,Andhra Pradesh,Hyderabad (de jure to 2024)Amaravati (de facto from 2017)[3][4][a],Amaravati[3],Amaravati,19562017,Kurnool (1953-1956)
2,Arunachal Pradesh,Itanagar,Itanagar,Guwahati,1986,—
3,Assam,Dispur,Guwahati,Guwahati,1975,Shillong[b] (1874–1952)
4,Bihar,Patna,Patna,Patna,1912,—
5,Chandigarh,Chandigarh[c],—,Chandigarh,1966,—
6,Chhattisgarh,Raipur[d],Raipur,Bilaspur,2000,—
7,Dadra and Nagar Haveli and Daman and Diu,Daman,—,Mumbai,2020,Mumbai (1954–1961)  Panaji (1961–1987)
8,National Capital Territory of Delhi,New Delhi,New Delhi,New Delhi,1931,—
9,Goa,Panaji[e],Porvorim,Mumbai,1961,Panaji (1961–1987)
10,Gujarat,Gandhinagar,Gandhinagar,Ahmedabad,1960,Ahmedabad (1960–1970)
11,Haryana,Chandigarh,Chandigarh,Chandigarh,1966,—
12,Himachal Pradesh,Shimla,Shimla (Summer)Dharamsala (Winter)[8],Shimla,19712017,Bilaspur (1950–1956)
13,Jammu and Kashmir,Srinagar (Summer)[9]Jammu (Winter),Srinagar (Summer)Jammu (Winter),Srinagar (Summer)Jammu (Winter),2019,—
14,Jharkhand,Ranchi,Ranchi,Ranchi,2000,—
15,Karnataka,Bangalore,Bangalore,Bangalore,1940,(Mysore)
16,Kerala,Thiruvananthapuram,Thiruvananthapuram,Kochi,1956,—
17,Ladakh,Leh,—,Srinagar (Summer)Jammu (Winter),2019,Srinagar (Summer)Jammu (Winter)
18,Lakshadweep,Kavaratti,—,Kochi,1956,—
19,Madhya Pradesh,Bhopal,Bhopal,Jabalpur,1956,Nagpur[f] (1861–1956)
20,Maharashtra,Mumbai[g],"Mumbai (Summer)
Nagpur (winter)",Mumbai,1818,—
21,Manipur,Imphal,Imphal,Imphal,1947,—
22,Meghalaya,Shillong,Shillong,Shillong,1970,—
23,Mizoram,Aizawl,Aizawl,Guwahati,1972,—
24,Nagaland,Kohima,Kohima,Guwahati,1963,—
25,Odisha,Bhubaneswar,Bhubaneswar,Cuttack,1948,Cuttack (1936–1948)
26,Puducherry,Pondicherry,Pondicherry,Chennai,1954,Madras (1948–1954)
27,Punjab,Chandigarh,Chandigarh,Chandigarh,1966,—
28,Rajasthan,Jaipur,Jaipur,Jodhpur,1950,—
29,Sikkim,Gangtok[h],Gangtok,Gangtok,1975,—
30,Tamil Nadu,Chennai[i],Chennai,Chennai,1956,—
31,Telangana,Hyderabad[j],Hyderabad,Hyderabad,2014,—
32,Tripura,Agartala,Agartala,Agartala,1956,—
33,Uttar Pradesh,Lucknow,Lucknow,Allahabad,1938,—
34,Uttarakhand,Dehradun[k],Dehradun,Nainital,2000,—
35,West Bengal,Kolkata,Kolkata,Kolkata,1947,—
36,east,jaipur,jaipiur,japiur,62137,b
 ,east,jaipur,jaipiur,japiur,62137,b
east,jaipur,japiur,62137,b
